,3
1,台泥
2,亞泥
3,嘉泥
4,環泥
5,幸福
6,信大
7,東泥
8,味全
9,味王
10,大成
11,大飲
12,卜蜂
13,統一
14,愛之味
15,泰山
16,福壽
17,台榮
18,福懋油
19,佳格
20,聯華
21,聯華食
22,大統益
23,天仁
24,黑松
25,興泰
26,宏亞
27,鮮活果汁-KY
28,台塑
29,南亞
30,台聚
31,華夏
32,三芳
33,亞聚
34,台達化
35,台苯
36,國喬
37,聯成
38,中石化
39,達新
40,上曜
41,東陽
42,大洋
43,永裕
44,地球
45,恆大
46,台化
47,再生-KY
48,廣華-KY
49,昭輝
50,勝悅-KY
51,富林-KY
52,八貫
53,遠東新
54,新纖
55,南染
56,宏洲
57,東和
58,廣豐
59,嘉裕
60,東華
61,新紡
62,利華
63,大魯閣
64,福懋
65,中福
66,華友聯
67,勤益控
68,三地開發
69,雋揚
70,南紡
71,大東
72,名軒
73,立益物流
74,力麗
75,大宇
76,宏和
77,力鵬
78,佳和
79,年興
80,宏益
81,大將
82,台富
83,集盛
84,怡華
85,宜進
86,聯發
87,宏遠
88,強盛
89,得力
90,偉全
91,聚隆
92,南緯
93,昶和
94,大統新創
95,首利
96,三洋實業
97,台南
98,弘裕
99,業旺
100,儒鴻
101,聚陽
102,士電
103,東元
104,正道
105,瑞利
106,中興電
107,亞力
108,力山
109,川飛
110,利奇
111,華城
112,大億
113,堤維西
114,耿鼎
115,江申
116,日馳
117,鑽全
118,恩德
119,樂事綠能
120,亞崴
121,高林股
122,勤美
123,車王電
124,中宇
125,和大
126,廣隆
127,正峰
128,巨庭
129,喬福
130,錩泰
131,伸興
132,中砂
133,倉佑
134,信錦
135,程泰
136,吉茂
137,永冠-KY
138,亞德客-KY
139,直得
140,岱宇
141,華電
142,聲寶
143,華新
144,華榮
145,大亞
146,中電
147,宏泰
148,三洋電
149,大山
150,億泰
151,榮星
152,合機
153,艾美特-KY
154,中化
155,南僑
156,葡萄王
157,東鹼
158,和益
159,東聯
160,永光
161,興農
162,國化
163,和桐
164,長興
165,中纖
166,生達
167,三晃
168,台肥
169,中碳
170,元禎
171,永記
172,中華化
173,花仙子
174,美吾華
175,毛寶
176,五鼎
177,杏輝
178,日勝化
179,喬山
180,臺鹽
181,南光
182,寶齡富錦
183,中化生
184,勝一
185,展宇
186,和康生
187,科妍
188,神隆
189,美時
190,台玻
191,寶徠
192,冠軍
193,潤隆
194,中釉
195,和成
196,凱撒衛
197,士紙
198,正隆
199,華紙
200,寶隆
201,永豐餘
202,榮成
203,中鋼
204,東和鋼鐵
205,燁興
206,高興昌
207,第一銅
208,春源
209,春雨
210,中鋼構
211,中鴻
212,豐興
213,官田鋼
214,美亞
215,聚亨
216,燁輝
217,志聯
218,千興
219,大成鋼
220,威致
221,盛餘
222,彰源
223,新光鋼
224,新鋼
225,佳大
226,允強
227,海光
228,上銀
229,川湖
230,橋椿
231,運錩
232,南港
233,泰豐
234,台橡
235,國際中橡
236,正新
237,建大
238,厚生
239,南帝
240,華豐
241,鑫永銓
242,六暉-KY
243,裕隆
244,中華
245,三陽工業
246,和泰車
247,台船
248,長榮鋼
249,裕日車
250,劍麟
251,為升
252,宇隆
253,百達-KY
254,英利-KY
255,艾姆勒
256,宏旭-KY
257,汎德永業
258,IKKA-KY
259,光寶科
260,麗正
261,聯電
262,全友
263,台達電
264,金寶
265,華通
266,台揚
267,楠梓電
268,鴻海
269,東訊
270,中環
271,仁寶
272,國巨
273,廣宇
274,華泰
275,台積電
276,精英
277,友訊
278,旺宏
279,光罩
280,台亞
281,茂矽
282,華邦電
283,智邦
284,聯強
285,海悅
286,錸德
287,順德
288,佳世達
289,宏碁
290,鴻準
291,敬鵬
292,英業達
293,華碩
294,廷鑫
295,所羅門
296,致茂
297,藍天
298,矽統
299,倫飛
300,昆盈
301,燿華
302,金像電
303,菱生
304,大同
305,震旦行
306,佳能
307,凱美
308,技嘉
309,微星
310,瑞昱
311,虹光
312,廣達
313,台光電
314,群光
315,精元
316,威盛
317,云辰
318,正崴
319,億光
320,研華
321,友通
322,映泰
323,凌陽
324,毅嘉
325,漢唐
326,輔信
327,國碩
328,南亞科
329,友達
330,中華電
331,環科
332,精技
333,錩新
334,圓剛
335,仲琦
336,新巨
337,建準
338,固緯
339,隴華
340,承啟
341,鼎元
342,三商電
343,興勤
344,銘旺科
345,燦坤
346,聯昌
347,互盛電
348,統懋
349,偉詮電
350,翔耀
351,美律
352,太空梭
353,超豐
354,新美齊
355,昶虹
356,兆勁
357,京元電子
358,神腦
359,創見
360,凌群
361,聯發科
362,全新
363,飛宏
364,義隆
365,敦吉
366,建通
367,光群雷
368,良得電
369,盟立
370,麗臺
371,冠西電
372,志聖
373,華經
374,資通
375,立隆電
376,可成
377,鉅祥
378,美隆電
379,大毅
380,敦陽科
381,強茂
382,連宇
383,百容
384,希華
385,兆赫
386,一詮
387,漢平
388,瑞軒
389,吉祥全
390,華新科
391,揚博
392,普安
393,卓越
394,怡利電
395,宏達電
396,國建
397,國產
398,國揚
399,太設
400,全坤建
401,太子
402,龍邦
403,中工
404,新建
405,冠德
406,京城
407,宏璟
408,皇普
409,華建
410,宏盛
411,達欣工
412,宏普
413,聯上發
414,基泰
415,櫻花建
416,愛山林
417,興富發
418,皇昌
419,皇翔
420,根基
421,日勝生
422,華固
423,潤弘
424,益航
425,長榮
426,新興
427,裕民
428,榮運
429,嘉里大榮
430,陽明
431,華航
432,志信
433,中航
434,中櫃
435,東森
436,萬海
437,山隆
438,台航
439,長榮航
440,亞航
441,台灣高鐵
442,漢翔
443,台驊投控
444,慧洋-KY
445,宅配通
446,萬企
447,華園
448,國賓
449,六福
450,第一店
451,晶華
452,遠雄來
453,夏都
454,美食-KY
455,王品
456,雄獅
457,寒舍
458,雲品
459,八方雲集
460,彰銀
461,京城銀
462,台中銀
463,旺旺保
464,華票
465,台產
466,臺企銀
467,高雄銀
468,聯邦銀
469,遠東銀
470,安泰銀
471,新產
472,中再保
473,第一保
474,統一證
475,三商壽
476,華南金
477,富邦金
478,國泰金
479,開發金
480,玉山金
481,元大金
482,兆豐金
483,台新金
484,新光金
485,國票金
486,永豐金
487,中信金
488,第一金
489,王道銀行
490,欣欣
491,遠百
492,匯僑
493,三商
494,高林
495,特力
496,統領
497,麗嬰房
498,統一超
499,農林
500,潤泰全
501,鼎固-KY
502,淘帝-KY
503,凱羿-KY
504,三商家購
505,歐格
506,健和興
507,豐達科
508,神基
509,晶豪科
510,大立光
511,華立
512,今皓
513,晟銘電
514,聯陽
515,全漢
516,嘉晶
517,奇鋐
518,同開
519,亞光
520,鴻名
521,威強電
522,信邦
523,憶聲
524,星通
525,禾伸堂
526,盛達
527,增你強
528,零壹
529,德律
530,佰鴻
531,偉訓
532,威健
533,聯詠
534,智原
535,文曄
536,欣興
537,全台
538,遠見
539,揚智
540,晶技
541,科風
542,健鼎
543,台灣大
544,建碁
545,訊舟
546,益登
547,和鑫
548,鈺德
549,力特
550,夆典
551,立萬利
552,蔚華科
553,總太
554,喬鼎
555,立德
556,華晶科
557,銘異
558,建漢
559,日電貿
560,鴻碩
561,聯傑
562,一零四
563,耀登
564,正達
565,景岳
566,大量
567,景碩
568,全科
569,晟鈦
570,緯創
571,虹冠電
572,昇陽
573,勝德
574,昇貿
575,聯德
576,閎暉
577,弘憶股
578,同泰
579,泰碩
580,麗清
581,奇偶
582,新日興
583,明泰
584,玉晶光
585,京鼎
586,融程電
587,譁裕
588,台端
589,榮創
590,創意
591,展達
592,聯鈞
593,晶睿
594,群創
595,誠研
596,維熹
597,揚明光
598,華擎
599,柏騰
600,安馳
601,晶相光
602,台勝科
603,嘉澤
604,晶彩科
605,誠創
606,州巧
607,敦泰
608,聯穎
609,嘉威
610,牧德
611,聯合再生
612,辛耘
613,通嘉
614,艾笛森
615,瑞鼎
616,力銘
617,智易
618,宏致
619,谷崧
620,碩天
621,洋華
622,達邁
623,精聯
624,健策
625,世芯-KY
626,貿聯-KY
627,圓展
628,TPK-KY
629,新至陞
630,亞太電
631,達能
632,海華
633,大眾控
634,大聯大
635,欣陸
636,合勤控
637,永信
638,神達
639,上緯投控
640,日月光投控
641,永崴投控
642,富采
643,定穎投控
644,佳醫
645,雃博
646,懷特
647,旭富
648,亞諾法
649,麗豐-KY
650,國光生
651,全宇生技-KY
652,訊映
653,承業醫
654,佐登-KY
655,炎洲
656,如興
657,利勤
658,廣越
659,冠星-KY
660,宜新實業
661,東台
662,瑞智
663,拓凱
664,全球傳動
665,銘鈺
666,智伸科
667,力達-KY
668,氣立
669,永新-KY
670,強信-KY
671,穎漢
672,元翎
673,時碩工業
674,鈞興-KY
675,駐龍
676,大銀微系統
677,光隆精密-KY
678,台灣精銳
679,德淵
680,國精化
681,華廣
682,康普
683,台耀
684,三福化
685,材料-KY
686,雙鍵
687,南寶
688,上品
689,日成-KY
690,遠傳
691,正文
692,聯德控股-KY
693,致伸
694,事欣科
695,新唐
696,泰鼎-KY
697,燦星網
698,太極
699,茂林-KY
700,和碩
701,嘉彰
702,康控-KY
703,凌通
704,光鋐
705,臻鼎-KY
706,誠美材
707,天鈺
708,十銓
709,立積
710,佳凌
711,眾達-KY
712,榮科
713,傳奇
714,鑫禾
715,三星
716,訊連
717,科嘉-KY
718,全訊
719,東科-KY
720,達興材料
721,乙盛-KY
722,弘凱
723,虹堡
724,祥碩
725,禾聯碩
726,jpp-KY
727,界霖
728,豐祥-KY
729,桂盟
730,中磊
731,崇越
732,瀚宇博
733,松翰
734,慧友
735,建國
736,隆大
737,工信
738,遠雄
739,順天
740,鄉林
741,皇鼎
742,長虹
743,東明-KY
744,永固-KY
745,遠雄港
746,四維航
747,鳳凰
748,中租-KY
749,上海商銀
750,合庫金
751,台南-KY
752,大洋-KY
753,群益證
754,群益期
755,競國
756,邁達特
757,鎰勝
758,彩晶
759,迎廣
760,達運
761,上福
762,金橋
763,富爾特
764,亞翔
765,柏承
766,友勁
767,百一
768,嘉聯益
769,鈞寶
770,華興
771,浪凡
772,凌華
773,宏齊
774,瑞儀
775,達麗
776,關貿
777,大豐電
778,豐藝
779,精成科
780,巨路
781,帆宣
782,佳必琪
783,亞弘電
784,盛群
785,詮欣
786,飛捷
787,今國光
788,聯茂
789,精誠
790,和椿
791,居易
792,聚鼎
793,天瀚
794,光鼎
795,尼得科超眾
796,華孚
797,力成
798,迅杰
799,矽格
800,台郡
801,同欣電
802,宏正
803,台表科
804,全國電
805,康舒
806,淳安
807,啟碁
808,聯嘉
809,悅城
810,旭隼
811,群電
812,樺漢
813,矽力*-KY
814,瑞祺電通
815,統新
816,光麗-KY
817,迅得
818,光聖
819,元晶
820,鈺邦
821,訊芯-KY
822,GIS-KY
823,台數科
824,安集
825,晶碩
826,南六
827,台塑化
828,穎崴
829,捷敏-KY
830,愛普*
831,晶心科
832,泰福-KY
833,北極星藥業-KY
834,易華電
835,興能高
836,虹揚-KY
837,研揚
838,鋼聯
839,申豐
840,鼎基
841,動力-KY
842,和潤企業
843,ABC-KY
844,帝寶
845,必應
846,基士德-KY
847,科定
848,羅麗芬-KY
849,中揚光
850,緯穎
851,復盛應用
852,三能-KY
853,騰輝電子-KY
854,鋐寶科技
855,伊雲谷
856,洋基工程
857,芯鼎
858,旭暉應材
859,惠特
860,嘉基
861,力智
862,安普新
863,匯僑設計
864,威鋒電子
865,志強-KY
866,力積電
867,展碁國際
868,AES-KY
869,視陽
870,采鈺
871,永豐實
872,詠業
873,晉弘
874,來頡
875,森崴能源
876,峰源-KY
877,汎銓
878,天二科技
879,圓裕
880,台通
881,矽創
882,尖點
883,昇陽半導體
884,雷虎
885,台虹
886,南電
887,長華*
888,陞泰
889,致新
890,華冠
891,瀚荃
892,錸寶
893,凌巨
894,華東
895,至上
896,振樺電
897,福懋科
898,南茂
899,達方
900,無敵
901,勤誠
902,志超
903,明基材
904,寶一
905,菱光
906,富鼎
907,宇瞻
908,日友
909,建新國際
910,羅昇
911,百和興業-KY
912,福貞-KY
913,可寧衛
914,金麗-KY
915,昶昕
916,威宏-KY
917,阿瘦
918,富邦媒
919,柏文
920,潤泰材
921,億豐
922,美吉吉-KY
923,波力-KY
924,山林水
925,東哥遊艇
926,政伸
927,商億-KY
928,吉源-KY
929,鼎炫-KY
930,台汽電
931,新天地
932,高力
933,鈺齊-KY
934,台火
935,寶成
936,大華
937,欣巴巴
938,統一實
939,大台北
940,豐泰
941,櫻花
942,偉聯
943,美利達
944,中保科
945,欣天然
946,康那香
947,巨大
948,福興
949,新保
950,新海
951,泰銘
952,中視
953,秋雨
954,中聯資源
955,欣高
956,中鼎
957,成霖
958,慶豐富
959,全國
960,百和
961,宏全
962,信義
963,裕融
964,茂順
965,好樂迪
966,新麗
967,潤泰新
968,三發地產
969,佳龍
970,世紀鋼
